[2022-10-04 03:30:23] ip: 167.248.133.62, OS: Unknown OS Platform, Brower: Unknown Browser, path: /
[2022-10-04 03:30:25] ip: 167.248.133.62, OS: Unknown OS Platform, Brower: Unknown Browser, path: /
[2022-10-04 11:30:53] ip: 117.5.141.202, OS: Windows 10, Brower: Chrome, path: /
[2022-10-04 16:31:16] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /.well-known/ALFA_DATA
[2022-10-04 16:31:17] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /.well-known/alfacgiapi
[2022-10-04 16:31:19] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /.well-known/cgialfa
[2022-10-04 16:31:20] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-content/uploads/ALFA_DATA
[2022-10-04 16:31:22] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-content/uploads/alfacgiapi
[2022-10-04 16:31:23] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-content/uploads/cgialfa
[2022-10-04 16:31:24] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-includes/ALFA_DATA
[2022-10-04 16:31:25] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-includes/alfacgiapi
[2022-10-04 16:31:26] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-includes/cgialfa
[2022-10-04 16:31:27] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-admin/ALFA_DATA
[2022-10-04 16:31:28] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-admin/alfacgiapi
[2022-10-04 16:31:30] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-admin/cgialfa
[2022-10-04 16:31:34] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-content/ALFA_DATA
[2022-10-04 16:31:36] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-content/alfacgiapi
[2022-10-04 16:31:37] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /wp-content/cgialfa
[2022-10-04 16:31:40] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /templates/beez3/ALFA_DATA
[2022-10-04 16:31:44] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /templates/beez3/alfacgiapi
[2022-10-04 16:31:46] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /templates/beez3/cgialfa
[2022-10-04 16:31:51] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /sites/default/files/ALFA_DATA
[2022-10-04 16:31:54] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /sites/default/files/alfacgiapi
[2022-10-04 16:31:58] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /sites/default/files/cgialfa
[2022-10-04 16:32:01] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /admin/controller/extension/extension/ALFA_DATA
[2022-10-04 16:32:04] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /admin/controller/extension/extension/alfacgiapi
[2022-10-04 16:32:05] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /admin/controller/extension/extension/cgialfa
[2022-10-04 16:32:13] ip: 116.203.97.95, OS: Unknown OS Platform, Brower: Handheld Browser, path: /index.php?3x=3x
